iteration,LHS
0,1105.8985456150842
1,-519.2476006001336
2,-149.58917662241595
3,-361.2179207195768
4,-467.0730077683377
5,-195.73359133103122
6,154.89400674882052
0,1693.1688828706965
1,1218.9278316014522
2,-434.8046980477542
3,384.35992343232977
4,-268.39194791488234
0,1693.1688828701456
1,1348.9790688405183
2,-425.388950998356
3,22.552537339962555
4,-27.142020526436326
5,-17.469948831248146
6,-25.96798981583484
7,64.9554865624581
8,-247.22717210400452
9,-252.42229965583414
10,-247.43188229887357
11,-275.29267225197344
12,-240.72124648396291
13,-231.71241547717634
14,-220.767819605898
15,-228.89449518009604
16,-236.1695502784993
17,-220.1622952590286
18,-193.03492378630304
19,-176.32006134482145
20,-109.87438047997837
21,-9.961148384927998
22,-5.922830231096363
23,-7.42358960162138
24,-6.232513303115953
