iteration,LHS
0,6883.236783694644
1,3540.5246601320773
2,-4105.378423257641
3,-1452.0428214382682
4,-4589.797399822939
5,697.8506467545839
6,1603.530448176424
7,-1992.5923876886725
8,2528.8591778299156
9,-1904.6543867894184
10,1188.8375933654231
11,-1050.500245114407
12,2693.538605548511
13,-2679.893038804825
14,-766.1741670265565
15,117.16149494634863
16,1893.9596366665253
17,-1158.8835635937282
18,-182.79693723250116
19,-964.098114439839
20,1216.4351655405617
21,-1009.9770880443554
22,346.5341207307507
23,-966.3041069469792
24,-11.969765550209463
0,4524.448911314826
1,-13952.021288265862
2,3215.0298844282033
3,1082.516648697303
4,-311.1184719974635
5,-294.2711159942547
6,-844.3883271302811
7,-773.5299070310828
8,-369.045394408836
9,-988.1416671004797
10,-2894.5289627417214
11,1497.4544244063527
12,982.9643272014641
13,-456.7804906116421
14,-266.14488918621043
15,-415.5003309980308
16,-261.3280187962141
17,-450.65518179126576
18,-428.9674124832085
19,-379.3761101679585
20,-307.18431900643634
21,-294.6924497567199
22,-262.38604459714463
23,-264.5096346902885
24,-289.4155208379554
0,5487.231468100256
1,-2031.8496916853665
2,-7501.2929113320215
3,533.4225323398163
4,99.4855159563065
5,-2326.9656320181634
6,0.3690260869373816
7,-151.67661320714103
8,-144.24605943929032
9,-442.5227683618571
10,-467.3042280991005
11,-312.20610895429013
12,-351.64332933250876
13,494.92526870152767
14,-413.5563323396214
15,-626.0518363004753
16,-435.277112233518
17,-403.74152502526806
18,-358.46799000250587
19,-274.5816323918229
20,-217.16065784195786
21,-308.64274827029027
22,-241.59172847699057
23,-174.07382949251434
24,-148.17279645166633
25,-173.17048032194396
26,-81.94829822255357
27,-50.832356094916506
28,-2.694177779661775
29,-10.603756950435002
30,-11.167850583485503
31,-8.550697838167068
32,0.279532341435323
33,0.029100643805807458
34,-0.8806130355969014
35,-1.682428895305555
36,-1.317077628693139
37,-2.223595258837145
38,-1.5950862874869867
39,-1.4635996904835522
40,0.8161425252386532
41,-0.5128650691468284
42,1.9309654670702183
43,1.0626750381016685
44,2.298313864676647
45,2.8050527465726587
46,2.304690939211527
47,4.404431307988707
48,2.5075369432525076
49,4.239191503067324
50,2.57686440814921
51,3.857027106458008
52,3.735879747553248
53,2.9420838954543838
54,4.936121702082118
55,2.395041173236173
56,4.790130663524051
57,2.428652646292647
58,4.971307226261464
59,2.50843204485093
60,4.020737371065794
61,3.428794387776075
62,3.16873504104528
63,4.54030726088226
64,2.6429965495999195
65,4.373727430140027
66,2.6639730266647357
67,4.17450369334234
68,3.2577165739730125
69,3.3216676081491205
70,4.52037002055026
71,2.741455967816628
72,4.326191986101738
73,2.6574319720630584
74,4.112587803193779
75,3.236172040721032
76,3.5195918600064697
77,3.1174695708451807
78,3.2959536581654394
79,3.1267774519020892
80,3.4028788218777573
81,3.538388702944493
82,2.9383186260768133
83,4.235709957506817
84,2.782949248999298
85,4.271468658842033
86,2.8846381464378616
87,3.8399903711199936
88,3.6970387516600542
89,3.311407631398904
90,4.83654074540644
91,2.526377497923452
92,4.631220250023313
93,3.4545578062792845
94,3.6581892967109173
95,4.369102732338703
96,3.252450181039484
97,4.196588645866857
98,2.7727169017836
99,3.9133761116840735
