Horizon,Lyapunov Value
1,7392.666998812836
2,17934.868402116757
3,6281.121573194274
4,6515.812882944283
5,6648.340080350727
6,6655.393610976269
7,6666.29587632205
8,6749.698720072892
9,6436.9685220522215
10,6382.008757400586
11,6297.358440371965
12,6293.713912699197
13,6269.723353157616
14,6223.07338813097
15,6236.678841977362
16,6174.146822003773
17,6153.144203520171
18,6117.557160432096
19,6109.928915409225
20,6044.12505642086
21,6083.598876027878
22,5942.490795542868
23,5876.020801470554
24,5780.753049125198
25,5762.676566923455
26,5740.045656247447
27,5761.498764135762
28,5770.976647998102
29,5605.084898951601
30,5598.534914064997
31,5589.886451000151
32,5604.428270186437
33,5591.0485070468
34,5618.464183363497
35,5574.932276362366
36,5624.835412204956
37,5592.449854720025
38,5589.001945075699
39,5603.75133400504
40,5603.4415903878635
41,5580.936835223243
42,5644.272487682495
43,5619.875670963469
44,5648.857109286235
45,5629.298153626903
46,5615.283808032728
47,5621.8304111895695
48,5577.050870686583
49,5577.79602444421
50,5577.242320597325
51,5576.520926585085
52,5576.062217075163
53,5599.841370415593
54,5576.591196862009
55,5593.629542920159
56,5575.308978999086
57,5576.760122110308
58,5576.115935526202
59,5574.984115220182
60,5575.854777520011
61,5574.425271064123
62,5575.665640485019
63,5574.05451282313
64,5592.115630676094
65,5574.5731893615375
66,5573.882016107627
67,5574.641740858916
68,5597.854176821972
69,5573.519101049802
70,5591.592130789255
71,5574.5341891976095
72,5572.784563123721
73,5572.8561986859395
74,5573.127093201802
75,5572.72093217616
76,5572.396394340685
77,5572.381355687486
78,5589.319233232067
79,5572.060461297109
80,5572.105263200815
81,5571.7163556996475
82,5574.056054350571
83,5572.407243818204
84,5572.607519126841
85,5602.647122005449
86,5572.188211944571
87,5576.739240440894
88,5571.656645350205
89,5572.9680055419185
90,5576.9912340974715
91,5571.974387849895
92,5571.70652161601
93,5573.1932226926565
94,5573.175974726252
95,5571.927285278176
96,5572.843041343699
97,5573.513168460638
98,5572.468343431913
99,5572.838593232008
100,5572.33758744974
